Venue:,Capacity:,Timestamp:
MyFitness Postimaja,35%,2021-03-08 18:05:40.663191
MyFitness Rocca al Mare,77%,2021-03-08 18:05:40.663192
MyFitness Rävala,63%,2021-03-08 18:05:40.663193
MyFitness Solaris,31%,2021-03-08 18:05:40.663194
MyFitness Tartu Annelinn,49%,2021-03-08 18:05:40.663194
MyFitness Tartu Kesklinn,55%,2021-03-08 18:05:40.663195
MyFitness Tartu Lõunakeskus,35%,2021-03-08 18:05:40.663196
MyFitness Viimsi,44%,2021-03-08 18:05:40.663197
MyFitness Viljandi,59%,2021-03-08 18:05:40.663198
MyFitness Viru,47%,2021-03-08 18:05:40.663199
MyFitness Ülemiste City,50%,2021-03-08 18:05:40.663200
MyFitness Balti Jaama Turg,31%,2021-03-08 19:06:28.864499
MyFitness Järve,37%,2021-03-08 19:06:28.864503
MyFitness Kristiine,33%,2021-03-08 19:06:28.864504
MyFitness Lasnamäe Kärberi,11%,2021-03-08 19:06:28.864505
MyFitness Lasnamäe Linnamäe,28%,2021-03-08 19:06:28.864506
MyFitness Lasnamäe Virbi,7%,2021-03-08 19:06:28.864507
MyFitness Mustamäe,32%,2021-03-08 19:06:28.864508
MyFitness Narva,39%,2021-03-08 19:06:28.864509
MyFitness Pirita,23%,2021-03-08 19:06:28.864510
MyFitness Postimaja,23%,2021-03-08 19:06:28.864511
MyFitness Rocca al Mare,58%,2021-03-08 19:06:28.864512
MyFitness Rävala,49%,2021-03-08 19:06:28.864513
MyFitness Solaris,17%,2021-03-08 19:06:28.864514
MyFitness Tartu Annelinn,61%,2021-03-08 19:06:28.864515
MyFitness Tartu Kesklinn,51%,2021-03-08 19:06:28.864516
MyFitness Tartu Lõunakeskus,35%,2021-03-08 19:06:28.864517
MyFitness Viimsi,26%,2021-03-08 19:06:28.864518
MyFitness Viljandi,43%,2021-03-08 19:06:28.864519
MyFitness Viru,17%,2021-03-08 19:06:28.864519
MyFitness Ülemiste City,36%,2021-03-08 19:06:28.864520
MyFitness Balti Jaama Turg,28%,2021-03-08 20:05:38.722363
MyFitness Järve,22%,2021-03-08 20:05:38.722367
MyFitness Kristiine,1%,2021-03-08 20:05:38.722368
MyFitness Lasnamäe Kärberi,10%,2021-03-08 20:05:38.722369
MyFitness Lasnamäe Linnamäe,16%,2021-03-08 20:05:38.722371
MyFitness Lasnamäe Virbi,1%,2021-03-08 20:05:38.722372
MyFitness Mustamäe,31%,2021-03-08 20:05:38.722373
MyFitness Narva,0%,2021-03-08 20:05:38.722374
MyFitness Pirita,7%,2021-03-08 20:05:38.722375
MyFitness Postimaja,12%,2021-03-08 20:05:38.722376
MyFitness Rocca al Mare,32%,2021-03-08 20:05:38.722377
MyFitness Rävala,35%,2021-03-08 20:05:38.722379
MyFitness Solaris,0%,2021-03-08 20:05:38.722380
MyFitness Tartu Annelinn,44%,2021-03-08 20:05:38.722381
MyFitness Tartu Kesklinn,28%,2021-03-08 20:05:38.722382
MyFitness Tartu Lõunakeskus,0%,2021-03-08 20:05:38.722383
MyFitness Viimsi,21%,2021-03-08 20:05:38.722384
MyFitness Viljandi,11%,2021-03-08 20:05:38.722385
MyFitness Viru,25%,2021-03-08 20:05:38.722386
MyFitness Ülemiste City,18%,2021-03-08 20:05:38.722387
MyFitness Balti Jaama Turg,3%,2021-03-08 21:05:49.856799
MyFitness Järve,0%,2021-03-08 21:05:49.856804
MyFitness Kristiine,1%,2021-03-08 21:05:49.856805
MyFitness Lasnamäe Kärberi,0%,2021-03-08 21:05:49.856806
MyFitness Lasnamäe Linnamäe,5%,2021-03-08 21:05:49.856807
MyFitness Lasnamäe Virbi,1%,2021-03-08 21:05:49.856808
MyFitness Mustamäe,3%,2021-03-08 21:05:49.856809
MyFitness Narva,0%,2021-03-08 21:05:49.856810
MyFitness Pirita,5%,2021-03-08 21:05:49.856811
MyFitness Postimaja,2%,2021-03-08 21:05:49.856813
MyFitness Rocca al Mare,3%,2021-03-08 21:05:49.856813
MyFitness Rävala,1%,2021-03-08 21:05:49.856814
MyFitness Solaris,0%,2021-03-08 21:05:49.856815
MyFitness Tartu Annelinn,1%,2021-03-08 21:05:49.856816
MyFitness Tartu Kesklinn,0%,2021-03-08 21:05:49.856817
MyFitness Tartu Lõunakeskus,0%,2021-03-08 21:05:49.856818
MyFitness Viimsi,1%,2021-03-08 21:05:49.856819
MyFitness Viljandi,11%,2021-03-08 21:05:49.856820
MyFitness Viru,18%,2021-03-08 21:05:49.856821
MyFitness Ülemiste City,2%,2021-03-08 21:05:49.856822
MyFitness Balti Jaama Turg,100%,2021-03-08 22:05:43.165185
MyFitness Järve,100%,2021-03-08 22:05:43.165189
MyFitness Kristiine,100%,2021-03-08 22:05:43.165190
MyFitness Lasnamäe Kärberi,100%,2021-03-08 22:05:43.165191
MyFitness Lasnamäe Linnamäe,100%,2021-03-08 22:05:43.165193
MyFitness Lasnamäe Virbi,100%,2021-03-08 22:05:43.165194
MyFitness Mustamäe,100%,2021-03-08 22:05:43.165195
MyFitness Narva,100%,2021-03-08 22:05:43.165196
MyFitness Pirita,100%,2021-03-08 22:05:43.165197
MyFitness Postimaja,100%,2021-03-08 22:05:43.166356
MyFitness Rocca al Mare,100%,2021-03-08 22:05:43.166363
MyFitness Rävala,100%,2021-03-08 22:05:43.166365
MyFitness Solaris,100%,2021-03-08 22:05:43.166366
MyFitness Tartu Annelinn,100%,2021-03-08 22:05:43.166367
MyFitness Tartu Kesklinn,100%,2021-03-08 22:05:43.166368
MyFitness Tartu Lõunakeskus,100%,2021-03-08 22:05:43.166369
MyFitness Viimsi,100%,2021-03-08 22:05:43.166371
MyFitness Viljandi,0%,2021-03-08 22:05:43.166372
MyFitness Viru,0%,2021-03-08 22:05:43.166374
MyFitness Ülemiste City,100%,2021-03-08 22:05:43.166375
MyFitness Viimsi,0%,2021-03-08 23:05:49.321906
MyFitness Viimsi,0%,2021-03-09 00:05:59.603817
MyFitness Viimsi,0%,2021-03-09 01:05:51.371162
MyFitness Viimsi,0%,2021-03-09 02:05:40.974090
MyFitness Viimsi,0%,2021-03-09 03:05:52.600725
MyFitness Rävala,16%,2021-03-09 04:05:52.508355
MyFitness Viimsi,0%,2021-03-09 04:05:52.508359
MyFitness Balti Jaama Turg,24%,2021-03-09 05:05:51.162580
MyFitness Järve,38%,2021-03-09 05:05:51.162584
MyFitness Kristiine,9%,2021-03-09 05:05:51.162585
MyFitness Lasnamäe Kärberi,7%,2021-03-09 05:05:51.162586
MyFitness Lasnamäe Linnamäe,9%,2021-03-09 05:05:51.162587
MyFitness Lasnamäe Virbi,3%,2021-03-09 05:05:51.162589
MyFitness Mustamäe,31%,2021-03-09 05:05:51.162590
MyFitness Narva,4%,2021-03-09 05:05:51.162591
MyFitness Pirita,5%,2021-03-09 05:05:51.162592
MyFitness Postimaja,9%,2021-03-09 05:05:51.162593
MyFitness Rocca al Mare,43%,2021-03-09 05:05:51.162594
MyFitness Rävala,49%,2021-03-09 05:05:51.162595
MyFitness Solaris,7%,2021-03-09 05:05:51.162596
MyFitness Tartu Annelinn,29%,2021-03-09 05:05:51.162597
MyFitness Tartu Kesklinn,9%,2021-03-09 05:05:51.162598
MyFitness Tartu Lõunakeskus,21%,2021-03-09 05:05:51.162599
MyFitness Viimsi,11%,2021-03-09 05:05:51.162600
MyFitness Viljandi,2%,2021-03-09 05:05:51.162601
MyFitness Viru,8%,2021-03-09 05:05:51.162602
MyFitness Ülemiste City,22%,2021-03-09 05:05:51.162603
MyFitness Balti Jaama Turg,43%,2021-03-09 06:05:46.979679
MyFitness Järve,47%,2021-03-09 06:05:46.979684
MyFitness Kristiine,32%,2021-03-09 06:05:46.979685
MyFitness Lasnamäe Kärberi,8%,2021-03-09 06:05:46.979687
MyFitness Lasnamäe Linnamäe,14%,2021-03-09 06:05:46.979688
MyFitness Lasnamäe Virbi,10%,2021-03-09 06:05:46.979689
MyFitness Mustamäe,32%,2021-03-09 06:05:46.979690
MyFitness Narva,27%,2021-03-09 06:05:46.979691
MyFitness Pirita,22%,2021-03-09 06:05:46.979692
MyFitness Postimaja,18%,2021-03-09 06:05:46.979694
MyFitness Rocca al Mare,55%,2021-03-09 06:05:46.979695
MyFitness Rävala,45%,2021-03-09 06:05:46.979696
MyFitness Solaris,36%,2021-03-09 06:05:46.979697
MyFitness Tartu Annelinn,35%,2021-03-09 06:05:46.979698
MyFitness Tartu Kesklinn,39%,2021-03-09 06:05:46.979698
MyFitness Tartu Lõunakeskus,33%,2021-03-09 06:05:46.979699
MyFitness Viimsi,20%,2021-03-09 06:05:46.979700
MyFitness Viljandi,20%,2021-03-09 06:05:46.979701
MyFitness Viru,12%,2021-03-09 06:05:46.979702
MyFitness Ülemiste City,38%,2021-03-09 06:05:46.979703
MyFitness Balti Jaama Turg,45%,2021-03-09 07:05:56.111928
MyFitness Järve,26%,2021-03-09 07:05:56.111933
MyFitness Kristiine,24%,2021-03-09 07:05:56.111934
MyFitness Lasnamäe Kärberi,9%,2021-03-09 07:05:56.111935
MyFitness Lasnamäe Linnamäe,27%,2021-03-09 07:05:56.111937
MyFitness Lasnamäe Virbi,13%,2021-03-09 07:05:56.111938
MyFitness Mustamäe,36%,2021-03-09 07:05:56.111939
MyFitness Narva,45%,2021-03-09 07:05:56.111940
MyFitness Pirita,32%,2021-03-09 07:05:56.111941
MyFitness Postimaja,20%,2021-03-09 07:05:56.111943
MyFitness Rocca al Mare,51%,2021-03-09 07:05:56.111943
MyFitness Rävala,52%,2021-03-09 07:05:56.111945
MyFitness Solaris,19%,2021-03-09 07:05:56.111945
MyFitness Tartu Annelinn,43%,2021-03-09 07:05:56.111946
MyFitness Tartu Kesklinn,47%,2021-03-09 07:05:56.111947
MyFitness Tartu Lõunakeskus,25%,2021-03-09 07:05:56.111948
MyFitness Viimsi,24%,2021-03-09 07:05:56.111949
MyFitness Viljandi,25%,2021-03-09 07:05:56.111950
MyFitness Viru,22%,2021-03-09 07:05:56.111951
MyFitness Ülemiste City,33%,2021-03-09 07:05:56.111952
MyFitness Balti Jaama Turg,51%,2021-03-09 08:05:45.647357
MyFitness Järve,27%,2021-03-09 08:05:45.647362
MyFitness Kristiine,11%,2021-03-09 08:05:45.647363
MyFitness Lasnamäe Kärberi,8%,2021-03-09 08:05:45.647364
MyFitness Lasnamäe Linnamäe,32%,2021-03-09 08:05:45.647365
MyFitness Lasnamäe Virbi,18%,2021-03-09 08:05:45.647366
MyFitness Mustamäe,24%,2021-03-09 08:05:45.647367
MyFitness Narva,38%,2021-03-09 08:05:45.647368
MyFitness Pirita,40%,2021-03-09 08:05:45.647370
MyFitness Postimaja,23%,2021-03-09 08:05:45.647371
MyFitness Rocca al Mare,59%,2021-03-09 08:05:45.647372
MyFitness Rävala,44%,2021-03-09 08:05:45.647373
MyFitness Solaris,7%,2021-03-09 08:05:45.647374
MyFitness Tartu Annelinn,36%,2021-03-09 08:05:45.647375
MyFitness Tartu Kesklinn,37%,2021-03-09 08:05:45.647377
MyFitness Tartu Lõunakeskus,13%,2021-03-09 08:05:45.647378
MyFitness Viimsi,32%,2021-03-09 08:05:45.647379
MyFitness Viljandi,25%,2021-03-09 08:05:45.647380
MyFitness Viru,17%,2021-03-09 08:05:45.647381
MyFitness Ülemiste City,25%,2021-03-09 08:05:45.647382
MyFitness Balti Jaama Turg,40%,2021-03-09 09:05:48.155483
MyFitness Järve,34%,2021-03-09 09:05:48.155487
MyFitness Kristiine,25%,2021-03-09 09:05:48.155488
MyFitness Lasnamäe Kärberi,15%,2021-03-09 09:05:48.155489
MyFitness Lasnamäe Linnamäe,28%,2021-03-09 09:05:48.155490
MyFitness Lasnamäe Virbi,12%,2021-03-09 09:05:48.155491
MyFitness Mustamäe,27%,2021-03-09 09:05:48.155492
MyFitness Narva,41%,2021-03-09 09:05:48.155493
MyFitness Pirita,38%,2021-03-09 09:05:48.155494
MyFitness Postimaja,20%,2021-03-09 09:05:48.155495
MyFitness Rocca al Mare,61%,2021-03-09 09:05:48.155496
MyFitness Rävala,40%,2021-03-09 09:05:48.155497
MyFitness Solaris,14%,2021-03-09 09:05:48.155497
MyFitness Tartu Annelinn,43%,2021-03-09 09:05:48.155498
MyFitness Tartu Kesklinn,36%,2021-03-09 09:05:48.155499
MyFitness Tartu Lõunakeskus,46%,2021-03-09 09:05:48.155500
MyFitness Viimsi,34%,2021-03-09 09:05:48.155501
MyFitness Viljandi,30%,2021-03-09 09:05:48.155501
MyFitness Viru,20%,2021-03-09 09:05:48.155502
MyFitness Ülemiste City,38%,2021-03-09 09:05:48.155503
MyFitness Balti Jaama Turg,39%,2021-03-09 10:05:44.443908
MyFitness Järve,45%,2021-03-09 10:05:44.443913
MyFitness Kristiine,26%,2021-03-09 10:05:44.443914
MyFitness Lasnamäe Kärberi,20%,2021-03-09 10:05:44.443915
MyFitness Lasnamäe Linnamäe,15%,2021-03-09 10:05:44.443917
MyFitness Lasnamäe Virbi,12%,2021-03-09 10:05:44.443918
MyFitness Mustamäe,31%,2021-03-09 10:05:44.443919
MyFitness Narva,61%,2021-03-09 10:05:44.443920
MyFitness Pirita,33%,2021-03-09 10:05:44.443922
MyFitness Postimaja,26%,2021-03-09 10:05:44.443923
MyFitness Rocca al Mare,66%,2021-03-09 10:05:44.443924
MyFitness Rävala,55%,2021-03-09 10:05:44.443925
MyFitness Solaris,24%,2021-03-09 10:05:44.443926
MyFitness Tartu Annelinn,49%,2021-03-09 10:05:44.443927
MyFitness Tartu Kesklinn,41%,2021-03-09 10:05:44.443928
MyFitness Tartu Lõunakeskus,42%,2021-03-09 10:05:44.443929
MyFitness Viimsi,22%,2021-03-09 10:05:44.443930
MyFitness Viljandi,36%,2021-03-09 10:05:44.443931
MyFitness Viru,32%,2021-03-09 10:05:44.443932
MyFitness Ülemiste City,30%,2021-03-09 10:05:44.443932
MyFitness Balti Jaama Turg,40%,2021-03-09 11:05:42.617050
MyFitness Järve,44%,2021-03-09 11:05:42.617054
MyFitness Kristiine,18%,2021-03-09 11:05:42.617055
MyFitness Lasnamäe Kärberi,23%,2021-03-09 11:05:42.617056
MyFitness Lasnamäe Linnamäe,19%,2021-03-09 11:05:42.617057
MyFitness Lasnamäe Virbi,9%,2021-03-09 11:05:42.617058
MyFitness Mustamäe,34%,2021-03-09 11:05:42.617059
MyFitness Narva,52%,2021-03-09 11:05:42.617060
MyFitness Pirita,25%,2021-03-09 11:05:42.617061
MyFitness Postimaja,38%,2021-03-09 11:05:42.617062
MyFitness Rocca al Mare,64%,2021-03-09 11:05:42.617063
MyFitness Rävala,52%,2021-03-09 11:05:42.617064
MyFitness Solaris,19%,2021-03-09 11:05:42.617065
MyFitness Tartu Annelinn,44%,2021-03-09 11:05:42.617066
MyFitness Tartu Kesklinn,54%,2021-03-09 11:05:42.617067
MyFitness Tartu Lõunakeskus,27%,2021-03-09 11:05:42.617067
MyFitness Viimsi,25%,2021-03-09 11:05:42.617068
MyFitness Viljandi,25%,2021-03-09 11:05:42.617070
MyFitness Viru,38%,2021-03-09 11:05:42.617070
MyFitness Ülemiste City,30%,2021-03-09 11:05:42.617071
MyFitness Balti Jaama Turg,36%,2021-03-09 12:05:46.980098
MyFitness Järve,40%,2021-03-09 12:05:46.980102
MyFitness Kristiine,25%,2021-03-09 12:05:46.980103
MyFitness Lasnamäe Kärberi,20%,2021-03-09 12:05:46.980103
MyFitness Lasnamäe Linnamäe,42%,2021-03-09 12:05:46.980105
MyFitness Lasnamäe Virbi,15%,2021-03-09 12:05:46.980106
MyFitness Mustamäe,30%,2021-03-09 12:05:46.980107
MyFitness Narva,54%,2021-03-09 12:05:46.980107
MyFitness Pirita,32%,2021-03-09 12:05:46.980109
MyFitness Postimaja,40%,2021-03-09 12:05:46.980110
MyFitness Rocca al Mare,54%,2021-03-09 12:05:46.980111
MyFitness Rävala,49%,2021-03-09 12:05:46.980112
MyFitness Solaris,17%,2021-03-09 12:05:46.980113
MyFitness Tartu Annelinn,35%,2021-03-09 12:05:46.980114
MyFitness Tartu Kesklinn,38%,2021-03-09 12:05:46.980115
MyFitness Tartu Lõunakeskus,38%,2021-03-09 12:05:46.980115
MyFitness Viimsi,31%,2021-03-09 12:05:46.980116
MyFitness Viljandi,18%,2021-03-09 12:05:46.980117
MyFitness Viru,28%,2021-03-09 12:05:46.980118
MyFitness Ülemiste City,29%,2021-03-09 12:05:46.980118
MyFitness Balti Jaama Turg,21%,2021-03-09 13:05:46.964120
MyFitness Järve,57%,2021-03-09 13:05:46.964124
MyFitness Kristiine,46%,2021-03-09 13:05:46.964125
MyFitness Lasnamäe Kärberi,19%,2021-03-09 13:05:46.964127
MyFitness Lasnamäe Linnamäe,47%,2021-03-09 13:05:46.964128
MyFitness Lasnamäe Virbi,21%,2021-03-09 13:05:46.964129
MyFitness Mustamäe,50%,2021-03-09 13:05:46.964130
MyFitness Narva,54%,2021-03-09 13:05:46.964131
MyFitness Pirita,45%,2021-03-09 13:05:46.964133
MyFitness Postimaja,35%,2021-03-09 13:05:46.964134
MyFitness Rocca al Mare,89%,2021-03-09 13:05:46.964135
MyFitness Rävala,76%,2021-03-09 13:05:46.964136
MyFitness Solaris,36%,2021-03-09 13:05:46.964137
MyFitness Tartu Annelinn,47%,2021-03-09 13:05:46.964138
MyFitness Tartu Kesklinn,38%,2021-03-09 13:05:46.964139
MyFitness Tartu Lõunakeskus,38%,2021-03-09 13:05:46.964140
MyFitness Viimsi,38%,2021-03-09 13:05:46.964142
MyFitness Viljandi,36%,2021-03-09 13:05:46.964143
MyFitness Viru,37%,2021-03-09 13:05:46.964144
MyFitness Ülemiste City,48%,2021-03-09 13:05:46.964145
MyFitness Balti Jaama Turg,21%,2021-03-09 14:06:11.479833
MyFitness Järve,55%,2021-03-09 14:06:11.479838
MyFitness Kristiine,37%,2021-03-09 14:06:11.479839
MyFitness Lasnamäe Kärberi,19%,2021-03-09 14:06:11.479840
MyFitness Lasnamäe Linnamäe,33%,2021-03-09 14:06:11.479841
MyFitness Lasnamäe Virbi,22%,2021-03-09 14:06:11.479842
MyFitness Mustamäe,50%,2021-03-09 14:06:11.479843
MyFitness Narva,61%,2021-03-09 14:06:11.479844
MyFitness Pirita,27%,2021-03-09 14:06:11.479845
MyFitness Postimaja,23%,2021-03-09 14:06:11.479846
MyFitness Rocca al Mare,89%,2021-03-09 14:06:11.479847
MyFitness Rävala,89%,2021-03-09 14:06:11.479848
MyFitness Solaris,31%,2021-03-09 14:06:11.479849
MyFitness Tartu Annelinn,63%,2021-03-09 14:06:11.479850
MyFitness Tartu Kesklinn,34%,2021-03-09 14:06:11.479851
MyFitness Tartu Lõunakeskus,29%,2021-03-09 14:06:11.479852
MyFitness Viimsi,47%,2021-03-09 14:06:11.479853
MyFitness Viljandi,36%,2021-03-09 14:06:11.479854
MyFitness Viru,42%,2021-03-09 14:06:11.479854
MyFitness Ülemiste City,50%,2021-03-09 14:06:11.479855
MyFitness Balti Jaama Turg,52%,2021-03-09 15:05:42.434305
MyFitness Järve,48%,2021-03-09 15:05:42.434309
MyFitness Kristiine,37%,2021-03-09 15:05:42.434310
MyFitness Lasnamäe Kärberi,24%,2021-03-09 15:05:42.434311
MyFitness Lasnamäe Linnamäe,32%,2021-03-09 15:05:42.434312
MyFitness Lasnamäe Virbi,25%,2021-03-09 15:05:42.434313
MyFitness Mustamäe,54%,2021-03-09 15:05:42.434314
MyFitness Narva,66%,2021-03-09 15:05:42.434315
MyFitness Pirita,28%,2021-03-09 15:05:42.434317
MyFitness Postimaja,31%,2021-03-09 15:05:42.434318
MyFitness Rocca al Mare,77%,2021-03-09 15:05:42.434319
MyFitness Rävala,81%,2021-03-09 15:05:42.434320
MyFitness Solaris,29%,2021-03-09 15:05:42.434321
MyFitness Tartu Annelinn,68%,2021-03-09 15:05:42.434322
MyFitness Tartu Kesklinn,59%,2021-03-09 15:05:42.434322
MyFitness Tartu Lõunakeskus,56%,2021-03-09 15:05:42.434323
MyFitness Viimsi,42%,2021-03-09 15:05:42.434324
MyFitness Viljandi,52%,2021-03-09 15:05:42.434326
MyFitness Viru,45%,2021-03-09 15:05:42.434326
MyFitness Ülemiste City,37%,2021-03-09 15:05:42.434327
MyFitness Balti Jaama Turg,60%,2021-03-09 16:05:51.507019
MyFitness Järve,58%,2021-03-09 16:05:51.507023
MyFitness Kristiine,74%,2021-03-09 16:05:51.507024
MyFitness Lasnamäe Kärberi,37%,2021-03-09 16:05:51.507025
MyFitness Lasnamäe Linnamäe,47%,2021-03-09 16:05:51.507027
MyFitness Lasnamäe Virbi,30%,2021-03-09 16:05:51.507028
MyFitness Mustamäe,88%,2021-03-09 16:05:51.507029
MyFitness Narva,79%,2021-03-09 16:05:51.507030
MyFitness Pirita,38%,2021-03-09 16:05:51.507032
MyFitness Postimaja,52%,2021-03-09 16:05:51.507033
MyFitness Rocca al Mare,82%,2021-03-09 16:05:51.507034
MyFitness Rävala,93%,2021-03-09 16:05:51.507035
MyFitness Solaris,31%,2021-03-09 16:05:51.507037
MyFitness Tartu Annelinn,72%,2021-03-09 16:05:51.507038
MyFitness Tartu Kesklinn,71%,2021-03-09 16:05:51.507039
MyFitness Tartu Lõunakeskus,60%,2021-03-09 16:05:51.507040
MyFitness Viimsi,50%,2021-03-09 16:05:51.507041
MyFitness Viljandi,68%,2021-03-09 16:05:51.507042
MyFitness Viru,57%,2021-03-09 16:05:51.507043
MyFitness Ülemiste City,70%,2021-03-09 16:05:51.507044
MyFitness Balti Jaama Turg,57%,2021-03-09 17:05:46.060731
MyFitness Järve,67%,2021-03-09 17:05:46.060735
MyFitness Kristiine,80%,2021-03-09 17:05:46.060736
MyFitness Lasnamäe Kärberi,44%,2021-03-09 17:05:46.060737
MyFitness Lasnamäe Linnamäe,47%,2021-03-09 17:05:46.060738
MyFitness Lasnamäe Virbi,27%,2021-03-09 17:05:46.060740
MyFitness Mustamäe,76%,2021-03-09 17:05:46.060741
MyFitness Narva,88%,2021-03-09 17:05:46.060742
MyFitness Pirita,48%,2021-03-09 17:05:46.060743
MyFitness Postimaja,43%,2021-03-09 17:05:46.060744
MyFitness Rocca al Mare,92%,2021-03-09 17:05:46.060745
MyFitness Rävala,95%,2021-03-09 17:05:46.060746
MyFitness Solaris,40%,2021-03-09 17:05:46.060747
MyFitness Tartu Annelinn,90%,2021-03-09 17:05:46.060748
MyFitness Tartu Kesklinn,66%,2021-03-09 17:05:46.060749
MyFitness Tartu Lõunakeskus,52%,2021-03-09 17:05:46.060749
MyFitness Viimsi,59%,2021-03-09 17:05:46.060750
MyFitness Viljandi,82%,2021-03-09 17:05:46.060751
MyFitness Viru,37%,2021-03-09 17:05:46.060752
MyFitness Ülemiste City,72%,2021-03-09 17:05:46.060753
MyFitness Balti Jaama Turg,75%,2021-03-09 18:05:44.888625
MyFitness Järve,75%,2021-03-09 18:05:44.888629
MyFitness Kristiine,37%,2021-03-09 18:05:44.888630
MyFitness Lasnamäe Kärberi,37%,2021-03-09 18:05:44.888632
MyFitness Lasnamäe Linnamäe,41%,2021-03-09 18:05:44.888633
MyFitness Lasnamäe Virbi,25%,2021-03-09 18:05:44.888634
MyFitness Mustamäe,61%,2021-03-09 18:05:44.888635
MyFitness Narva,54%,2021-03-09 18:05:44.888637
MyFitness Pirita,65%,2021-03-09 18:05:44.888638
MyFitness Postimaja,37%,2021-03-09 18:05:44.888640
MyFitness Rocca al Mare,68%,2021-03-09 18:05:44.888641
MyFitness Rävala,83%,2021-03-09 18:05:44.888642
MyFitness Solaris,38%,2021-03-09 18:05:44.888643
MyFitness Tartu Annelinn,85%,2021-03-09 18:05:44.888644
MyFitness Tartu Kesklinn,46%,2021-03-09 18:05:44.888645
MyFitness Tartu Lõunakeskus,52%,2021-03-09 18:05:44.888646
MyFitness Viimsi,45%,2021-03-09 18:05:44.888647
MyFitness Viljandi,75%,2021-03-09 18:05:44.888649
MyFitness Viru,55%,2021-03-09 18:05:44.888650
MyFitness Ülemiste City,64%,2021-03-09 18:05:44.888651
MyFitness Balti Jaama Turg,43%,2021-03-09 19:05:38.431784
MyFitness Järve,53%,2021-03-09 19:05:38.431788
MyFitness Kristiine,53%,2021-03-09 19:05:38.431789
MyFitness Lasnamäe Kärberi,21%,2021-03-09 19:05:38.431790
MyFitness Lasnamäe Linnamäe,35%,2021-03-09 19:05:38.431792
MyFitness Lasnamäe Virbi,16%,2021-03-09 19:05:38.431793
MyFitness Mustamäe,39%,2021-03-09 19:05:38.431793
MyFitness Narva,52%,2021-03-09 19:05:38.431794
MyFitness Pirita,50%,2021-03-09 19:05:38.431796
MyFitness Postimaja,35%,2021-03-09 19:05:38.431797
MyFitness Rocca al Mare,71%,2021-03-09 19:05:38.431797
MyFitness Rävala,73%,2021-03-09 19:05:38.431798
MyFitness Solaris,17%,2021-03-09 19:05:38.431799
MyFitness Tartu Annelinn,71%,2021-03-09 19:05:38.431800
MyFitness Tartu Kesklinn,32%,2021-03-09 19:05:38.431801
MyFitness Tartu Lõunakeskus,60%,2021-03-09 19:05:38.431801
MyFitness Viimsi,45%,2021-03-09 19:05:38.431802
MyFitness Viljandi,50%,2021-03-09 19:05:38.431803
MyFitness Viru,45%,2021-03-09 19:05:38.431804
MyFitness Ülemiste City,54%,2021-03-09 19:05:38.431805
MyFitness Balti Jaama Turg,33%,2021-03-09 20:05:38.674394
MyFitness Järve,23%,2021-03-09 20:05:38.674399
MyFitness Kristiine,7%,2021-03-09 20:05:38.674400
MyFitness Lasnamäe Kärberi,12%,2021-03-09 20:05:38.674401
MyFitness Lasnamäe Linnamäe,13%,2021-03-09 20:05:38.674402
MyFitness Lasnamäe Virbi,4%,2021-03-09 20:05:38.674404
MyFitness Mustamäe,22%,2021-03-09 20:05:38.674405
MyFitness Narva,0%,2021-03-09 20:05:38.674406
MyFitness Pirita,2%,2021-03-09 20:05:38.674407
MyFitness Postimaja,22%,2021-03-09 20:05:38.674409
MyFitness Rocca al Mare,56%,2021-03-09 20:05:38.674410
MyFitness Rävala,45%,2021-03-09 20:05:38.674411
MyFitness Solaris,2%,2021-03-09 20:05:38.674412
MyFitness Tartu Annelinn,38%,2021-03-09 20:05:38.674413
MyFitness Tartu Kesklinn,20%,2021-03-09 20:05:38.674414
MyFitness Tartu Lõunakeskus,2%,2021-03-09 20:05:38.674414
MyFitness Viimsi,34%,2021-03-09 20:05:38.674415
MyFitness Viljandi,16%,2021-03-09 20:05:38.674417
MyFitness Viru,18%,2021-03-09 20:05:38.674418
MyFitness Ülemiste City,29%,2021-03-09 20:05:38.674418
MyFitness Balti Jaama Turg,3%,2021-03-09 21:05:42.850328
MyFitness Järve,0%,2021-03-09 21:05:42.850331
MyFitness Kristiine,4%,2021-03-09 21:05:42.850332
MyFitness Lasnamäe Kärberi,0%,2021-03-09 21:05:42.850333
MyFitness Lasnamäe Linnamäe,4%,2021-03-09 21:05:42.850334
MyFitness Lasnamäe Virbi,3%,2021-03-09 21:05:42.850336
MyFitness Mustamäe,1%,2021-03-09 21:05:42.850336
MyFitness Narva,0%,2021-03-09 21:05:42.850337
MyFitness Pirita,2%,2021-03-09 21:05:42.850338
MyFitness Postimaja,3%,2021-03-09 21:05:42.850340
MyFitness Rocca al Mare,13%,2021-03-09 21:05:42.850341
MyFitness Rävala,7%,2021-03-09 21:05:42.850342
MyFitness Solaris,0%,2021-03-09 21:05:42.850343
MyFitness Tartu Annelinn,1%,2021-03-09 21:05:42.850343
MyFitness Tartu Kesklinn,0%,2021-03-09 21:05:42.850344
MyFitness Tartu Lõunakeskus,0%,2021-03-09 21:05:42.850345
MyFitness Viimsi,2%,2021-03-09 21:05:42.850346
MyFitness Viljandi,11%,2021-03-09 21:05:42.850347
MyFitness Viru,12%,2021-03-09 21:05:42.850348
MyFitness Ülemiste City,2%,2021-03-09 21:05:42.850349
